,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
158,23,2023-02-18 14:00,Sampdoria,Bologna,0,1,1,2,3
159,23,2023-02-17 19:45,Sassuolo,Napoli,0,2,0,2,2
160,22,2023-02-13 19:45,Sampdoria,Inter,0,0,0,0,0
161,22,2023-02-13 17:30,Verona,Salernitana,1,0,1,0,1
162,22,2023-02-12 19:45,Napoli,Cremonese,1,0,3,0,3
163,22,2023-02-12 17:00,Juventus,Fiorentina,1,0,1,0,1
164,22,2023-02-12 14:00,Bologna,Monza,0,1,0,1,1
165,22,2023-02-12 11:30,Udinese,Sassuolo,2,2,2,2,4
166,22,2023-02-11 19:45,Lazio,Atalanta,0,1,0,2,2
167,22,2023-02-11 17:00,Lecce,AS Roma,1,1,1,1,2
168,22,2023-02-11 14:00,Empoli,Spezia,0,2,2,2,4
169,22,2023-02-10 19:45,AC Milan,Torino,0,0,1,0,1
170,21,2023-02-07 19:45,Salernitana,Juventus,0,2,0,3,3
171,21,2023-02-06 19:45,Monza,Sampdoria,1,1,2,2,4
172,21,2023-02-06 17:30,Verona,Lazio,0,1,1,1,2
173,21,2023-02-05 19:45,Inter,AC Milan,1,0,1,0,1
174,21,2023-02-05 17:00,Fiorentina,Bologna,1,1,1,2,3
175,21,2023-02-05 14:00,Torino,Udinese,0,0,1,0,1
176,21,2023-02-05 11:30,Spezia,Napoli,0,0,0,3,3
177,21,2023-02-04 19:45,Sassuolo,Atalanta,0,0,1,0,1
178,21,2023-02-04 17:00,AS Roma,Empoli,2,0,2,0,2
179,21,2023-02-04 14:00,Cremonese,Lecce,0,0,0,2,2
180,20,2023-01-30 19:45,Udinese,Verona,1,1,1,1,2
181,20,2023-01-29 19:45,Napoli,AS Roma,1,0,2,1,3
182,20,2023-01-29 17:00,Lazio,Fiorentina,1,0,1,1,2
183,20,2023-01-29 14:00,Juventus,Monza,0,2,0,2,2
184,20,2023-01-29 11:30,AC Milan,Sassuolo,1,3,2,5,7
185,20,2023-01-28 19:45,Atalanta,Sampdoria,1,0,2,0,2
186,20,2023-01-28 17:00,Cremonese,Inter,1,1,1,2,3
187,20,2023-01-28 14:00,Empoli,Torino,1,0,2,2,4
188,20,2023-01-27 19:45,Lecce,Salernitana,1,2,1,2,3
189,20,2023-01-27 17:30,Bologna,Spezia,1,0,2,0,2
190,19,2023-01-24 19:45,Lazio,AC Milan,2,0,4,0,4
