,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
235,8,2022-10-02 19:30,Famalicao,Boavista,2,0,4,0,4
236,8,2022-10-02 17:00,Paços Ferreira,Arouca,0,0,1,1,2
237,8,2022-10-02 14:30,Rio Ave,Santa Clara,1,0,1,0,1
238,8,2022-10-01 19:30,Guimaraes,Benfica,0,0,0,0,0
239,8,2022-10-01 17:00,Chaves,Estoril,1,0,1,1,2
240,8,2022-10-01 14:30,Vizela,Portimonense,1,0,1,0,1
241,8,2022-09-30 20:15,FC Porto,Braga,2,0,4,1,5
242,8,2022-09-30 18:00,Sporting,Gil Vicente,2,0,3,1,4
243,7,2022-09-18 19:30,Braga,Vizela,0,0,2,0,2
244,7,2022-09-18 17:00,Casa Pia,Famalicao,0,0,1,0,1
245,7,2022-09-18 17:00,Benfica,Maritimo,1,0,5,0,5
246,7,2022-09-18 14:30,Arouca,Guimaraes,1,0,2,2,4
247,7,2022-09-17 19:30,Boavista,Sporting,1,0,2,1,3
248,7,2022-09-17 17:00,Estoril,FC Porto,1,0,1,1,2
249,7,2022-09-17 14:30,Santa Clara,Paços Ferreira,1,0,1,1,2
250,7,2022-09-17 14:30,Gil Vicente,Rio Ave,0,1,2,2,4
251,7,2022-09-16 19:15,Portimonense,Chaves,1,0,1,0,1
252,6,2022-09-12 19:15,Vizela,Estoril,0,1,0,1,1
253,6,2022-09-11 19:30,Rio Ave,Braga,0,2,2,3,5
254,6,2022-09-11 17:00,Arouca,Boavista,1,1,1,2,3
255,6,2022-09-11 17:00,Maritimo,Gil Vicente,1,0,1,2,3
256,6,2022-09-11 14:30,Paços Ferreira,Casa Pia,1,0,2,3,5
257,6,2022-09-10 19:30,FC Porto,Chaves,1,0,3,0,3
258,6,2022-09-10 17:00,Sporting,Portimonense,2,0,4,0,4
259,6,2022-09-10 14:30,Famalicao,Benfica,0,0,0,1,1
260,6,2022-09-09 19:15,Guimaraes,Santa Clara,0,0,1,0,1
261,5,2022-09-05 20:15,Chaves,Rio Ave,1,0,1,1,2
262,5,2022-09-05 18:00,Boavista,Paços Ferreira,0,0,1,0,1
263,5,2022-09-04 19:30,Portimonense,Famalicao,0,0,1,0,1
264,5,2022-09-04 17:00,Santa Clara,Maritimo,0,1,2,1,3
265,5,2022-09-04 14:30,Casa Pia,Arouca,0,0,0,0,0
266,5,2022-09-03 19:30,Gil Vicente,FC Porto,0,2,0,2,2
267,5,2022-09-03 14:30,Braga,Guimaraes,0,0,1,0,1
268,5,2022-09-02 20:15,Estoril,Sporting,0,2,0,2,2
269,5,2022-09-02 18:00,Benfica,Vizela,0,1,2,1,3
270,4,2022-08-30 19:15,Benfica,Paços Ferreira,2,1,3,2,5
271,4,2022-08-29 20:15,Vizela,Gil Vicente,2,2,2,2,4
272,4,2022-08-29 18:00,Guimaraes,Casa Pia,0,1,0,1,1
273,4,2022-08-28 19:30,Rio Ave,FC Porto,3,0,3,1,4
274,4,2022-08-28 17:00,Arouca,Braga,0,4,0,6,6
275,4,2022-08-28 14:30,Famalicao,Santa Clara,1,0,1,0,1
276,4,2022-08-27 19:30,Sporting,Chaves,0,0,0,2,2
277,4,2022-08-27 17:00,Boavista,Benfica,0,1,0,3,3
278,4,2022-08-27 14:30,Maritimo,Portimonense,0,1,0,1,1
279,3,2022-08-26 19:15,Paços Ferreira,Estoril,0,2,0,3,3
280,3,2022-08-22 19:15,Gil Vicente,Famalicao,0,0,0,0,0
281,3,2022-08-21 19:30,Portimonense,Guimaraes,0,0,2,1,3
282,3,2022-08-21 17:00,Braga,Maritimo,2,0,5,0,5
283,3,2022-08-21 14:30,Casa Pia,Boavista,0,0,2,0,2
284,3,2022-08-20 19:30,FC Porto,Sporting,1,0,3,0,3
285,3,2022-08-20 17:00,Chaves,Vizela,1,1,1,1,2
286,3,2022-08-20 14:30,Santa Clara,Arouca,0,0,1,2,3
287,3,2022-08-19 19:15,Estoril,Rio Ave,1,0,2,2,4
288,2,2022-08-15 19:30,Paços Ferreira,Portimonense,0,1,0,3,3
289,2,2022-08-15 17:00,Arouca,Gil Vicente,1,0,1,0,1
290,2,2022-08-15 14:30,Maritimo,Chaves,1,0,1,2,3
291,2,2022-08-14 19:30,Guimaraes,Estoril,1,0,1,0,1
292,2,2022-08-14 17:00,Vizela,FC Porto,0,0,0,1,1
293,2,2022-08-14 14:30,Boavista,Santa Clara,0,1,2,1,3
294,2,2022-08-13 19:30,Sporting,Rio Ave,1,0,3,0,3
295,2,2022-08-13 17:00,Casa Pia,Benfica,0,0,0,1,1
296,2,2022-08-12 19:15,Famalicao,Braga,0,2,0,3,3
297,1,2022-08-08 19:15,Gil Vicente,Paços Ferreira,0,0,1,0,1
298,1,2022-08-07 19:30,Chaves,Guimaraes,0,1,0,1,1
299,1,2022-08-07 19:30,Portimonense,Boavista,0,1,0,1,1
300,1,2022-08-07 17:00,Braga,Sporting,2,2,3,3,6
301,1,2022-08-07 14:30,Santa Clara,Casa Pia,0,0,0,0,0
302,1,2022-08-06 19:30,FC Porto,Maritimo,3,0,5,1,6
303,1,2022-08-06 17:00,Estoril,Famalicao,2,0,2,0,2
304,1,2022-08-06 14:30,Rio Ave,Vizela,0,0,0,1,1
305,1,2022-08-05 19:15,Benfica,Arouca,3,0,4,0,4
