journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
19,2023-01-14 20:00:00,Lyon,Strasbourg,1,2,3,0,0,0,1,2,3
19,2023-01-14 18:00:00,Marseille,Lorient,1,1,2,2,0,2,3,1,4
19,2023-01-14 16:00:00,Lens,Auxerre,0,0,0,1,0,1,1,0,1
18,2023-01-11 20:00:00,Troyes,Marseille,0,1,1,0,1,1,0,2,2
18,2023-01-11 20:00:00,Strasbourg,Lens,2,2,4,0,0,0,2,2,4
18,2023-01-11 20:00:00,Nice,Montpellier,2,0,2,4,1,5,6,1,7
18,2023-01-11 20:00:00,PSG,Angers,1,0,1,1,0,1,2,0,2
18,2023-01-11 20:00:00,Lorient,Monaco,0,0,0,2,2,4,2,2,4
18,2023-01-11 18:00:00,Clermont,Rennes,1,0,1,1,1,2,2,1,3
18,2023-01-11 18:00:00,AC Ajaccio,Reims,0,1,1,0,0,0,0,1,1
18,2023-01-11 18:00:00,Nantes,Lyon,0,0,0,0,0,0,0,0,0
18,2023-01-11 18:00:00,Auxerre,Toulouse,0,3,3,0,2,2,0,5,5
18,2023-01-11 18:00:00,Brest,Lille,0,0,0,0,0,0,0,0,0
17,2023-01-02 20:00:00,Rennes,Nice,1,1,2,1,0,1,2,1,3
17,2023-01-02 18:00:00,Montpellier,Marseille,0,0,0,1,2,3,1,2,3
17,2023-01-02 16:00:00,Lille,Reims,1,0,1,0,1,1,1,1,2
17,2023-01-02 14:00:00,Strasbourg,Troyes,1,2,3,1,1,2,2,3,5
17,2023-01-01 19:45:00,Lens,PSG,2,1,3,1,0,1,3,1,4
17,2023-01-01 16:00:00,Lyon,Clermont,0,0,0,0,1,1,0,1,1
17,2023-01-01 14:00:00,Toulouse,AC Ajaccio,0,0,0,2,0,2,2,0,2
17,2023-01-01 14:00:00,Monaco,Brest,0,0,0,1,0,1,1,0,1
17,2023-01-01 14:00:00,Angers,Lorient,1,0,1,0,2,2,1,2,3
17,2023-01-01 14:00:00,Nantes,Auxerre,0,0,0,1,0,1,1,0,1
16,2022-12-29 20:00:00,Nice,Lens,0,0,0,0,0,0,0,0,0
16,2022-12-29 20:00:00,Marseille,Toulouse,2,0,2,4,1,5,6,1,7
16,2022-12-29 18:00:00,Reims,Rennes,2,1,3,1,0,1,3,1,4
16,2022-12-29 16:00:00,Lorient,Montpellier,0,2,2,0,0,0,0,2,2
16,2022-12-28 20:00:00,Brest,Lyon,1,3,4,1,1,2,2,4,6
16,2022-12-28 20:00:00,PSG,Strasbourg,1,0,1,1,1,2,2,1,3
16,2022-12-28 18:00:00,Clermont,Lille,0,0,0,0,2,2,0,2,2
16,2022-12-28 16:00:00,Auxerre,Monaco,1,1,2,1,2,3,2,3,5
16,2022-12-28 14:00:00,AC Ajaccio,Angers,1,0,1,0,0,0,1,0,1
16,2022-12-28 14:00:00,Troyes,Nantes,0,0,0,0,0,0,0,0,0
15,2022-11-13 19:45:00,Monaco,Marseille,1,1,2,1,2,3,2,3,5
15,2022-11-13 16:05:00,Strasbourg,Lorient,0,1,1,1,0,1,1,1,2
15,2022-11-13 14:00:00,Brest,Troyes,0,0,0,2,1,3,2,1,3
