Unnamed: 0,mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
182,14,2022-11-13 13:30,Heerenveen,Cambuur,1,1,2,1,0,1,2,1,3
183,14,2022-11-13 13:30,Groningen,Sittard,1,0,1,1,3,4,2,3,5
184,14,2022-11-13 11:15,Nijmegen,Waalwijk,1,1,2,5,0,5,6,1,7
185,14,2022-11-12 20:00,PSV,AZ Alkmaar,0,1,1,0,0,0,0,1,1
186,14,2022-11-12 17:45,FC Emmen,Ajax,1,3,4,2,0,2,3,3,6
187,14,2022-11-12 15:30,FC Volendam,Utrecht,0,1,1,0,3,3,0,4,4
188,14,2022-11-11 19:00,Sparta Rotterdam,Twente,0,0,0,1,1,2,1,1,2
189,13,2022-11-10 19:00,Feyenoord,Cambuur,1,0,1,0,0,0,1,0,1
190,13,2022-11-09 19:00,Ajax,Vitesse,1,1,2,1,1,2,2,2,4
191,13,2022-11-06 15:45,Ajax,PSV,0,1,1,1,1,2,1,2,3
192,13,2022-11-06 15:45,Waalwijk,AZ Alkmaar,1,1,2,2,0,2,3,1,4
193,13,2022-11-06 13:30,Twente,G.A. Eagles,1,0,1,0,1,1,1,1,2
194,13,2022-11-06 13:30,FC Volendam,Feyenoord,0,2,2,0,0,0,0,2,2
195,13,2022-11-06 11:15,Utrecht,Groningen,0,1,1,2,0,2,2,1,3
196,13,2022-11-05 20:00,Excelsior,Heerenveen,0,0,0,0,1,1,0,1,1
197,13,2022-11-05 17:45,Sittard,FC Emmen,0,0,0,0,1,1,0,1,1
198,12,2022-11-05 15:30,Vitesse,Sparta Rotterdam,0,0,0,0,4,4,0,4,4
199,12,2022-11-04 19:00,Cambuur,Nijmegen,0,1,1,0,0,0,0,1,1
200,12,2022-10-30 15:45,AZ Alkmaar,FC Volendam,2,0,2,0,1,1,2,1,3
201,12,2022-10-30 13:30,Twente,Waalwijk,2,0,2,1,0,1,3,0,3
202,12,2022-10-30 13:30,PSV,Nijmegen,1,0,1,2,0,2,3,0,3
203,12,2022-10-30 11:15,FC Emmen,Groningen,0,0,0,0,0,0,0,0,0
204,12,2022-10-29 19:00,G.A. Eagles,Excelsior,2,0,2,1,1,2,3,1,4
205,12,2022-10-29 16:45,Sparta Rotterdam,Sittard,1,1,2,2,0,2,3,1,4
206,12,2022-10-29 14:30,Heerenveen,Utrecht,1,1,2,0,1,1,1,2,3
207,11,2022-10-23 18:00,FC Volendam,Heerenveen,1,1,2,0,2,2,1,3,4
208,11,2022-10-23 14:45,Utrecht,Sparta Rotterdam,1,0,1,2,1,3,3,1,4
209,11,2022-10-23 12:30,Groningen,PSV,3,1,4,1,1,2,4,2,6
210,11,2022-10-23 12:30,Nijmegen,G.A. Eagles,1,2,3,2,1,3,3,3,6
211,11,2022-10-23 12:30,Cambuur,Twente,0,0,0,0,1,1,0,1,1
212,11,2022-10-23 10:15,Excelsior,AZ Alkmaar,2,0,2,0,1,1,2,1,3
213,11,2022-10-22 19:00,Vitesse,FC Emmen,2,0,2,0,1,1,2,1,3
214,11,2022-10-22 16:45,Waalwijk,Ajax,1,1,2,0,3,3,1,4,5
215,11,2022-10-22 14:30,Feyenoord,Sittard,0,1,1,1,0,1,1,1,2
216,10,2022-10-16 18:00,Ajax,Excelsior,3,0,3,4,1,5,7,1,8
217,10,2022-10-16 14:45,AZ Alkmaar,Feyenoord,1,1,2,0,2,2,1,3,4
218,10,2022-10-16 12:30,Twente,Groningen,0,0,0,3,0,3,3,0,3
219,10,2022-10-16 12:30,PSV,Utrecht,3,1,4,3,0,3,6,1,7
220,10,2022-10-16 10:15,Sparta Rotterdam,Nijmegen,2,0,2,0,0,0,2,0,2
221,10,2022-10-15 19:00,Cambuur,Vitesse,0,1,1,0,2,2,0,3,3
222,10,2022-10-15 18:00,G.A. Eagles,Heerenveen,0,0,0,1,1,2,1,1,2
223,10,2022-10-15 16:45,Sittard,Waalwijk,0,0,0,0,0,0,0,0,0
224,10,2022-10-14 18:00,FC Emmen,FC Volendam,0,0,0,1,1,2,1,1,2
225,9,2022-10-09 18:00,Vitesse,Sittard,1,1,2,0,1,1,1,2,3
226,9,2022-10-09 14:45,Heerenveen,PSV,0,0,0,0,1,1,0,1,1
227,9,2022-10-09 12:30,Feyenoord,Twente,1,0,1,1,0,1,2,0,2
228,9,2022-10-09 12:30,Utrecht,AZ Alkmaar,0,1,1,1,1,2,1,2,3
229,9,2022-10-09 10:15,G.A. Eagles,Cambuur,0,0,0,0,0,0,0,0,0
230,9,2022-10-08 19:00,Nijmegen,Excelsior,0,0,0,1,1,2,1,1,2
231,9,2022-10-08 16:45,Sparta Rotterdam,FC Emmen,1,0,1,2,1,3,3,1,4
232,9,2022-10-08 14:30,FC Volendam,Ajax,0,2,2,2,2,4,2,4,6
233,9,2022-10-07 18:00,Groningen,Waalwijk,1,1,2,1,2,3,2,3,5
234,8,2022-10-02 18:00,FC Emmen,Heerenveen,0,0,0,0,0,0,0,0,0
235,8,2022-10-02 14:45,Waalwijk,Sparta Rotterdam,1,1,2,1,1,2,2,2,4
236,8,2022-10-02 12:30,Nijmegen,Feyenoord,1,1,2,0,0,0,1,1,2
237,8,2022-10-02 12:30,Excelsior,Utrecht,0,1,1,0,0,0,0,1,1
238,8,2022-10-02 10:15,Sittard,FC Volendam,2,0,2,0,0,0,2,0,2
239,8,2022-10-01 19:00,Twente,Vitesse,1,0,1,2,0,2,3,0,3
240,8,2022-10-01 18:00,Ajax,G.A. Eagles,1,0,1,0,1,1,1,1,2
241,8,2022-10-01 16:45,Groningen,AZ Alkmaar,1,2,3,0,2,2,1,4,5
242,8,2022-10-01 14:30,Cambuur,PSV,0,0,0,3,0,3,3,0,3
243,7,2022-09-18 14:45,AZ Alkmaar,Ajax,2,1,3,0,0,0,2,1,3
244,7,2022-09-18 12:30,Heerenveen,Twente,2,1,3,0,0,0,2,1,3
245,7,2022-09-18 12:30,PSV,Feyenoord,2,2,4,2,1,3,4,3,7
246,7,2022-09-18 10:15,G.A. Eagles,FC Emmen,1,0,1,1,0,1,2,0,2
247,7,2022-09-17 19:00,Sittard,Excelsior,0,0,0,1,0,1,1,0,1
248,7,2022-09-17 18:00,Waalwijk,Cambuur,1,1,2,4,0,4,5,1,6
249,7,2022-09-17 16:45,Vitesse,FC Volendam,0,1,1,1,0,1,1,1,2
250,7,2022-09-17 14:30,Sparta Rotterdam,Groningen,0,0,0,2,1,3,2,1,3
251,7,2022-09-16 18:00,Utrecht,Nijmegen,0,0,0,0,0,0,0,0,0
252,6,2022-09-11 18:00,Feyenoord,Sparta Rotterdam,2,0,2,1,0,1,3,0,3
253,6,2022-09-11 14:45,AZ Alkmaar,Twente,0,0,0,1,1,2,1,1,2
254,6,2022-09-11 12:30,PSV,Waalwijk,0,0,0,1,0,1,1,0,1
255,6,2022-09-11 12:30,Cambuur,Groningen,0,0,0,0,1,1,0,1,1
256,6,2022-09-11 10:15,Utrecht,Vitesse,0,0,0,1,0,1,1,0,1
257,6,2022-09-10 19:00,Excelsior,FC Emmen,0,1,1,2,0,2,2,1,3
258,6,2022-09-10 16:45,Ajax,Heerenveen,2,0,2,3,0,3,5,0,5
259,6,2022-09-10 14:30,Nijmegen,Sittard,0,0,0,1,1,2,1,1,2
260,6,2022-09-09 18:00,FC Volendam,G.A. Eagles,1,1,2,1,2,3,2,3,5
261,5,2022-09-04 14:45,Groningen,Vitesse,0,0,0,0,1,1,0,1,1
262,5,2022-09-04 12:30,Heerenveen,Nijmegen,0,0,0,0,0,0,0,0,0
263,5,2022-09-04 12:30,FC Emmen,AZ Alkmaar,0,3,3,0,0,0,0,3,3
264,5,2022-09-04 10:15,Waalwijk,Excelsior,1,2,3,4,0,4,5,2,7
265,5,2022-09-03 19:00,G.A. Eagles,Feyenoord,2,2,4,1,2,3,3,4,7
266,5,2022-09-03 18:00,Sparta Rotterdam,FC Volendam,1,0,1,3,0,3,4,0,4
267,5,2022-09-03 16:45,Twente,PSV,2,0,2,0,1,1,2,1,3
268,5,2022-09-03 14:30,Ajax,Cambuur,2,0,2,2,0,2,4,0,4
269,5,2022-09-02 18:00,Sittard,Utrecht,0,0,0,3,4,7,3,4,7
270,4,2022-09-01 18:00,AZ Alkmaar,Nijmegen,0,0,0,1,1,2,1,1,2
271,4,2022-08-31 19:00,Twente,Excelsior,2,0,2,2,0,2,4,0,4
272,4,2022-08-31 16:45,PSV,FC Volendam,3,1,4,4,0,4,7,1,8
273,4,2022-08-28 14:45,Cambuur,AZ Alkmaar,0,0,0,0,1,1,0,1,1
274,4,2022-08-28 12:30,FC Volendam,Twente,0,0,0,1,0,1,1,0,1
275,4,2022-08-28 12:30,Excelsior,PSV,0,3,3,1,3,4,1,6,7
276,4,2022-08-28 10:15,Utrecht,Ajax,0,2,2,0,0,0,0,2,2
277,4,2022-08-27 19:00,Heerenveen,Sittard,2,0,2,0,1,1,2,1,3
278,4,2022-08-27 18:00,Feyenoord,FC Emmen,0,0,0,4,0,4,4,0,4
279,3,2022-08-27 16:45,Vitesse,Waalwijk,0,1,1,2,1,3,2,2,4
280,3,2022-08-27 14:30,G.A. Eagles,Sparta Rotterdam,0,1,1,0,0,0,0,1,1
281,3,2022-08-26 18:00,Nijmegen,Groningen,0,0,0,1,1,2,1,1,2
