journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
14,2022-11-09 19:30,Union Berlin,Augsburg,2,2,4,0,0,0,2,2,4
14,2022-11-09 17:30,FC Koln,Bayer Leverkusen,1,0,1,0,2,2,1,2,3
14,2022-11-08 19:30,Bochum,B. Monchengladbach,2,0,2,0,1,1,2,1,3
14,2022-11-08 19:30,Stuttgart,Hertha Berlin,1,1,2,1,0,1,2,1,3
14,2022-11-08 19:30,Bayern Munich,Werder Bremen,4,1,5,2,0,2,6,1,7
14,2022-11-08 17:30,Wolfsburg,Dortmund,1,0,1,1,0,1,2,0,2
13,2022-11-06 16:30,Freiburg,FC Koln,0,0,0,2,0,2,2,0,2
13,2022-11-06 14:30,Bayer Leverkusen,Union Berlin,0,0,0,5,0,5,5,0,5
13,2022-11-05 17:30,Werder Bremen,Schalke,1,0,1,1,1,2,2,1,3
13,2022-11-05 14:30,Dortmund,Bochum,3,0,3,0,0,0,3,0,3
13,2022-11-05 14:30,Hertha Berlin,Bayern Munich,2,3,5,0,0,0,2,3,5
13,2022-11-05 14:30,Mainz,Wolfsburg,0,1,1,0,2,2,0,3,3
13,2022-11-05 14:30,Augsburg,Eintracht Frankfurt,1,1,2,0,1,1,1,2,3
13,2022-11-05 14:30,Hoffenheim,RB Leipzig,0,1,1,1,2,3,1,3,4
13,2022-11-04 19:30,B. Monchengladbach,Stuttgart,2,1,3,1,0,1,3,1,4
12,2022-10-30 18:30,FC Koln,Hoffenheim,1,1,2,0,0,0,1,1,2
12,2022-10-30 16:30,Schalke,Freiburg,0,1,1,0,1,1,0,2,2
12,2022-10-30 14:30,Union Berlin,B. Monchengladbach,0,1,1,2,0,2,2,1,3
12,2022-10-29 16:30,Eintracht Frankfurt,Dortmund,1,1,2,0,1,1,1,2,3
12,2022-10-29 13:30,RB Leipzig,Bayer Leverkusen,1,0,1,1,0,1,2,0,2
12,2022-10-29 13:30,Bayern Munich,Mainz,3,1,4,3,1,4,6,2,8
12,2022-10-29 13:30,Wolfsburg,Bochum,2,0,2,2,0,2,4,0,4
12,2022-10-29 13:30,Stuttgart,Augsburg,1,1,2,1,0,1,2,1,3
12,2022-10-28 18:30,Werder Bremen,Hertha Berlin,0,0,0,1,0,1,1,0,1
11,2022-10-23 15:30,Hertha Berlin,Schalke,0,0,0,2,1,3,2,1,3
11,2022-10-23 13:30,Bochum,Union Berlin,1,0,1,1,1,2,2,1,3
11,2022-10-22 16:30,B. Monchengladbach,Eintracht Frankfurt,0,3,3,1,0,1,1,3,4
11,2022-10-22 13:30,Hoffenheim,Bayern Munich,0,2,2,0,0,0,0,2,2
11,2022-10-22 13:30,Freiburg,Werder Bremen,0,0,0,2,0,2,2,0,2
11,2022-10-22 13:30,Bayer Leverkusen,Wolfsburg,1,1,2,1,1,2,2,2,4
11,2022-10-22 13:30,Augsburg,RB Leipzig,1,0,1,2,3,5,3,3,6
11,2022-10-22 13:30,Dortmund,Stuttgart,3,0,3,2,0,2,5,0,5
11,2022-10-21 18:30,Mainz,FC Koln,3,0,3,2,0,2,5,0,5
10,2022-10-16 17:30,Bayern Munich,Freiburg,2,0,2,3,0,3,5,0,5
10,2022-10-16 15:30,Union Berlin,Dortmund,2,0,2,0,0,0,2,0,2
10,2022-10-16 13:30,FC Koln,Augsburg,0,1,1,3,1,4,3,2,5
10,2022-10-15 16:30,RB Leipzig,Hertha Berlin,3,0,3,0,2,2,3,2,5
10,2022-10-15 13:30,Stuttgart,Bochum,2,1,3,2,0,2,4,1,5
10,2022-10-15 13:30,Eintracht Frankfurt,Bayer Leverkusen,1,0,1,4,1,5,5,1,6
10,2022-10-15 13:30,Werder Bremen,Mainz,0,1,1,0,1,1,0,2,2
10,2022-10-15 13:30,Wolfsburg,B. Monchengladbach,1,1,2,1,1,2,2,2,4
10,2022-10-14 18:30,Schalke,Hoffenheim,0,2,2,0,1,1,0,3,3
9,2022-10-09 17:30,Stuttgart,Union Berlin,0,0,0,0,1,1,0,1,1
9,2022-10-09 15:30,Hertha Berlin,Freiburg,1,1,2,1,1,2,2,2,4
9,2022-10-09 13:30,B. Monchengladbach,FC Koln,2,1,3,3,1,4,5,2,7
9,2022-10-08 16:30,Dortmund,Bayern Munich,0,1,1,2,1,3,2,2,4
9,2022-10-08 13:30,Bayer Leverkusen,Schalke,2,0,2,2,0,2,4,0,4
9,2022-10-08 13:30,Augsburg,Wolfsburg,0,1,1,1,0,1,1,1,2
9,2022-10-08 13:30,Mainz,RB Leipzig,1,0,1,0,1,1,1,1,2
9,2022-10-08 13:30,Bochum,Eintracht Frankfurt,0,0,0,3,0,3,3,0,3
9,2022-10-07 18:30,Hoffenheim,Werder Bremen,1,1,2,0,1,1,1,2,3
8,2022-10-02 15:30,Schalke,Augsburg,1,2,3,1,1,2,2,3,5
8,2022-10-02 13:30,Hertha Berlin,Hoffenheim,1,1,2,0,0,0,1,1,2
8,2022-10-01 16:30,Werder Bremen,B. Monchengladbach,4,0,4,1,1,2,5,1,6
8,2022-10-01 13:30,Eintracht Frankfurt,Union Berlin,2,0,2,0,0,0,2,0,2
8,2022-10-01 13:30,Wolfsburg,Stuttgart,2,2,4,1,0,1,3,2,5
8,2022-10-01 13:30,RB Leipzig,Bochum,2,0,2,2,0,2,4,0,4
8,2022-10-01 13:30,FC Koln,Dortmund,0,1,1,3,1,4,3,2,5
8,2022-10-01 13:30,Freiburg,Mainz,2,0,2,0,1,1,2,1,3
8,2022-09-30 18:30,Bayern Munich,Bayer Leverkusen,3,0,3,1,0,1,4,0,4
7,2022-09-18 17:30,Hoffenheim,Freiburg,0,0,0,0,0,0,0,0,0
7,2022-09-18 15:30,Bochum,FC Koln,1,0,1,0,1,1,1,1,2
7,2022-09-18 13:30,Union Berlin,Wolfsburg,0,0,0,2,0,2,2,0,2
7,2022-09-17 16:30,B. Monchengladbach,RB Leipzig,2,0,2,1,0,1,3,0,3
7,2022-09-17 13:30,Dortmund,Schalke,0,0,0,1,0,1,1,0,1
7,2022-09-17 13:30,Stuttgart,Eintracht Frankfurt,0,1,1,1,2,3,1,3,4
7,2022-09-17 13:30,Bayer Leverkusen,Werder Bremen,0,0,0,1,1,2,1,1,2
7,2022-09-17 13:30,Augsburg,Bayern Munich,0,0,0,1,0,1,1,0,1
7,2022-09-16 18:30,Mainz,Hertha Berlin,0,1,1,1,0,1,1,1,2
6,2022-09-11 15:30,Freiburg,B. Monchengladbach,0,0,0,0,0,0,0,0,0
6,2022-09-11 13:30,FC Koln,Union Berlin,0,1,1,0,0,0,0,1,1
6,2022-09-10 16:30,Schalke,Bochum,1,0,1,2,1,3,3,1,4
6,2022-09-10 13:30,Hoffenheim,Mainz,0,0,0,4,1,5,4,1,5
6,2022-09-10 13:30,RB Leipzig,Dortmund,2,0,2,1,0,1,3,0,3
6,2022-09-10 13:30,Hertha Berlin,Bayer Leverkusen,0,0,0,2,2,4,2,2,4
6,2022-09-10 13:30,Bayern Munich,Stuttgart,1,0,1,1,2,3,2,2,4
6,2022-09-10 13:30,Eintracht Frankfurt,Wolfsburg,0,0,0,0,1,1,0,1,1
6,2022-09-09 18:30,Werder Bremen,Augsburg,0,0,0,0,1,1,0,1,1
5,2022-09-04 15:30,B. Monchengladbach,Mainz,0,0,0,0,1,1,0,1,1
5,2022-09-04 13:30,Augsburg,Hertha Berlin,0,0,0,0,2,2,0,2,2
5,2022-09-03 16:30,Eintracht Frankfurt,RB Leipzig,2,0,2,2,0,2,4,0,4
5,2022-09-03 13:30,Bayer Leverkusen,Freiburg,1,0,1,1,3,4,2,3,5
5,2022-09-03 13:30,Stuttgart,Schalke,1,1,2,0,0,0,1,1,2
5,2022-09-03 13:30,Union Berlin,Bayern Munich,1,1,2,0,0,0,1,1,2
5,2022-09-03 13:30,Bochum,Werder Bremen,0,0,0,0,2,2,0,2,2
5,2022-09-03 13:30,Wolfsburg,FC Koln,1,3,4,1,1,2,2,4,6
5,2022-09-02 18:30,Dortmund,Hoffenheim,1,0,1,0,0,0,1,0,1
4,2022-08-28 15:30,Werder Bremen,Eintracht Frankfurt,2,3,5,1,1,2,3,4,7
4,2022-08-28 13:30,FC Koln,Stuttgart,0,0,0,0,0,0,0,0,0
4,2022-08-27 16:30,Bayern Munich,B. Monchengladbach,0,1,1,1,0,1,1,1,2
4,2022-08-27 13:30,Hoffenheim,Augsburg,1,0,1,0,0,0,1,0,1
4,2022-08-27 13:30,RB Leipzig,Wolfsburg,1,0,1,1,0,1,2,0,2
4,2022-08-27 13:30,Mainz,Bayer Leverkusen,0,3,3,0,0,0,0,3,3
4,2022-08-27 13:30,Schalke,Union Berlin,1,3,4,0,3,3,1,6,7
4,2022-08-27 13:30,Hertha Berlin,Dortmund,0,1,1,0,0,0,0,1,1
4,2022-08-26 18:30,Freiburg,Bochum,0,0,0,1,0,1,1,0,1
3,2022-08-21 15:30,Bochum,Bayern Munich,0,4,4,0,3,3,0,7,7
3,2022-08-21 13:30,Eintracht Frankfurt,FC Koln,0,0,0,1,1,2,1,1,2
3,2022-08-20 16:30,Union Berlin,RB Leipzig,2,0,2,0,1,1,2,1,3
3,2022-08-20 13:30,Dortmund,Werder Bremen,1,0,1,1,3,4,2,3,5
3,2022-08-20 13:30,Stuttgart,Freiburg,0,1,1,0,0,0,0,1,1
3,2022-08-20 13:30,Wolfsburg,Schalke,0,0,0,0,0,0,0,0,0
3,2022-08-20 13:30,Bayer Leverkusen,Hoffenheim,0,2,2,0,1,1,0,3,3
3,2022-08-20 13:30,Augsburg,Mainz,1,1,2,0,1,1,1,2,3
3,2022-08-19 18:30,B. Monchengladbach,Hertha Berlin,1,0,1,0,0,0,1,0,1
2,2022-08-14 15:30,Bayern Munich,Wolfsburg,2,0,2,0,0,0,2,0,2
2,2022-08-14 13:30,Mainz,Union Berlin,0,0,0,0,0,0,0,0,0
2,2022-08-13 16:30,Schalke,B. Monchengladbach,1,0,1,1,2,3,2,2,4
2,2022-08-13 13:30,Bayer Leverkusen,Augsburg,1,1,2,0,1,1,1,2,3
2,2022-08-13 13:30,Werder Bremen,Stuttgart,1,1,2,1,1,2,2,2,4
2,2022-08-13 13:30,RB Leipzig,FC Koln,1,1,2,1,1,2,2,2,4
2,2022-08-13 13:30,Hertha Berlin,Eintracht Frankfurt,1,0,1,0,1,1,1,1,2
2,2022-08-13 13:30,Hoffenheim,Bochum,2,2,4,1,0,1,3,2,5
2,2022-08-12 18:30,Freiburg,Dortmund,1,0,1,0,3,3,1,3,4
1,2022-08-07 15:30,FC Koln,Schalke,0,0,0,3,1,4,3,1,4
1,2022-08-07 13:30,Stuttgart,RB Leipzig,1,1,2,0,0,0,1,1,2
1,2022-08-06 16:30,Dortmund,Bayer Leverkusen,1,0,1,0,0,0,1,0,1
1,2022-08-06 13:30,Augsburg,Freiburg,0,0,0,0,4,4,0,4,4
1,2022-08-06 13:30,B. Monchengladbach,Hoffenheim,1,1,2,2,0,2,3,1,4
1,2022-08-06 13:30,Bochum,Mainz,1,1,2,0,1,1,1,2,3
1,2022-08-06 13:30,Union Berlin,Hertha Berlin,1,0,1,2,1,3,3,1,4
1,2022-08-06 13:30,Wolfsburg,Werder Bremen,1,2,3,1,0,1,2,2,4
