mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
10,2022-10-17 16:30,Sampdoria,AS Roma,0,1,1,0,0,0,0,1,1
10,2022-10-16 18:45,Verona,AC Milan,1,1,2,0,1,1,1,2,3
10,2022-10-16 16:00,Napoli,Bologna,1,1,2,2,1,3,3,2,5
10,2022-10-16 13:00,Lazio,Udinese,0,0,0,0,0,0,0,0,0
10,2022-10-16 13:00,Spezia,Cremonese,2,1,3,0,1,1,2,2,4
10,2022-10-16 10:30,Inter,Salernitana,1,0,1,1,0,1,2,0,2
10,2022-10-15 18:45,Atalanta,Sassuolo,1,1,2,1,0,1,2,1,3
10,2022-10-15 16:00,Torino,Juventus,0,0,0,0,1,1,0,1,1
10,2022-10-15 13:00,Empoli,Monza,1,0,1,0,0,0,1,0,1
9,2022-10-10 18:45,Fiorentina,Lazio,0,2,2,0,2,2,0,4,4
9,2022-10-09 18:45,AS Roma,Lecce,1,1,2,1,0,1,2,1,3
9,2022-10-09 16:00,Cremonese,Napoli,0,1,1,1,3,4,1,4,5
9,2022-10-09 13:00,Udinese,Atalanta,0,1,1,2,1,3,2,2,4
9,2022-10-09 13:00,Monza,Spezia,1,0,1,1,0,1,2,0,2
9,2022-10-09 13:00,Salernitana,Verona,1,0,1,1,1,2,2,1,3
9,2022-10-09 10:30,Torino,Empoli,0,0,0,1,1,2,1,1,2
9,2022-10-08 18:45,Bologna,Sampdoria,1,0,1,0,1,1,1,1,2
9,2022-10-08 16:00,AC Milan,Juventus,1,0,1,1,0,1,2,0,2
9,2022-10-08 13:00,Sassuolo,Inter,0,1,1,1,1,2,1,2,3
8,2022-10-03 18:45,Verona,Udinese,1,0,1,0,2,2,1,2,3
8,2022-10-02 18:45,Juventus,Bologna,1,0,1,2,0,2,3,0,3
8,2022-10-02 16:00,Atalanta,Fiorentina,0,0,0,1,0,1,1,0,1
8,2022-10-02 13:00,Lecce,Cremonese,1,1,2,0,0,0,1,1,2
8,2022-10-02 13:00,Sampdoria,Monza,0,1,1,0,2,2,0,3,3
8,2022-10-02 13:00,Sassuolo,Salernitana,2,0,2,3,0,3,5,0,5
8,2022-10-02 10:30,Lazio,Spezia,2,0,2,2,0,2,4,0,4
8,2022-10-01 18:45,Empoli,AC Milan,0,0,0,1,3,4,1,3,4
8,2022-10-01 16:00,Inter,AS Roma,1,1,2,0,1,1,1,2,3
8,2022-10-01 13:00,Napoli,Torino,3,1,4,0,0,0,3,1,4
7,2022-09-18 18:45,AC Milan,Napoli,0,0,0,1,2,3,1,2,3
7,2022-09-18 16:00,AS Roma,Atalanta,0,1,1,0,0,0,0,1,1
7,2022-09-18 13:00,Cremonese,Lazio,0,3,3,0,1,1,0,4,4
7,2022-09-18 13:00,Fiorentina,Verona,1,0,1,1,0,1,2,0,2
7,2022-09-18 13:00,Monza,Juventus,0,0,0,1,0,1,1,0,1
7,2022-09-18 10:30,Udinese,Inter,1,1,2,2,0,2,3,1,4
7,2022-09-17 18:45,Torino,Sassuolo,0,0,0,0,1,1,0,1,1
7,2022-09-17 16:00,Spezia,Sampdoria,1,1,2,1,0,1,2,1,3
7,2022-09-17 13:00,Bologna,Empoli,0,0,0,0,1,1,0,1,1
7,2022-09-16 18:45,Salernitana,Lecce,0,1,1,1,1,2,1,2,3
6,2022-09-12 18:45,Empoli,AS Roma,1,1,2,0,1,1,1,2,3
6,2022-09-11 18:45,Juventus,Salernitana,0,2,2,2,0,2,2,2,4
6,2022-09-11 16:00,Lazio,Verona,0,0,0,2,0,2,2,0,2
