mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
12,2022-10-30 13:30,Twente,Waalwijk,2,0,2,1,0,1,3,0,3
12,2022-10-30 13:30,PSV,Nijmegen,1,0,1,2,0,2,3,0,3
12,2022-10-30 11:15,FC Emmen,Groningen,0,0,0,0,0,0,0,0,0
12,2022-10-29 19:00,G.A. Eagles,Excelsior,2,0,2,1,1,2,3,1,4
12,2022-10-29 16:45,Sparta Rotterdam,Sittard,1,1,2,2,0,2,3,1,4
12,2022-10-29 14:30,Heerenveen,Utrecht,1,1,2,0,1,1,1,2,3
11,2022-10-23 18:00,FC Volendam,Heerenveen,1,1,2,0,2,2,1,3,4
11,2022-10-23 14:45,Utrecht,Sparta Rotterdam,1,0,1,2,1,3,3,1,4
11,2022-10-23 12:30,Cambuur,Twente,0,0,0,0,1,1,0,1,1
11,2022-10-23 12:30,Groningen,PSV,3,1,4,1,1,2,4,2,6
11,2022-10-23 12:30,Nijmegen,G.A. Eagles,1,2,3,2,1,3,3,3,6
11,2022-10-23 10:15,Excelsior,AZ Alkmaar,2,0,2,0,1,1,2,1,3
11,2022-10-22 19:00,Vitesse,FC Emmen,2,0,2,0,1,1,2,1,3
11,2022-10-22 16:45,Waalwijk,Ajax,1,1,2,0,3,3,1,4,5
11,2022-10-22 14:30,Feyenoord,Sittard,0,1,1,1,0,1,1,1,2
10,2022-10-16 18:00,Ajax,Excelsior,3,0,3,4,1,5,7,1,8
10,2022-10-16 14:45,AZ Alkmaar,Feyenoord,1,1,2,0,2,2,1,3,4
10,2022-10-16 12:30,PSV,Utrecht,3,1,4,3,0,3,6,1,7
10,2022-10-16 12:30,Twente,Groningen,0,0,0,3,0,3,3,0,3
10,2022-10-16 10:15,Sparta Rotterdam,Nijmegen,2,0,2,0,0,0,2,0,2
10,2022-10-15 19:00,Cambuur,Vitesse,0,1,1,0,2,2,0,3,3
10,2022-10-15 18:00,G.A. Eagles,Heerenveen,0,0,0,1,1,2,1,1,2
10,2022-10-15 16:45,Sittard,Waalwijk,0,0,0,0,0,0,0,0,0
10,2022-10-14 18:00,FC Emmen,FC Volendam,0,0,0,1,1,2,1,1,2
9,2022-10-09 18:00,Vitesse,Sittard,1,1,2,0,1,1,1,2,3
9,2022-10-09 14:45,Heerenveen,PSV,0,0,0,0,1,1,0,1,1
9,2022-10-09 12:30,Feyenoord,Twente,1,0,1,1,0,1,2,0,2
9,2022-10-09 12:30,Utrecht,AZ Alkmaar,0,1,1,1,1,2,1,2,3
9,2022-10-09 10:15,G.A. Eagles,Cambuur,0,0,0,0,0,0,0,0,0
9,2022-10-08 19:00,Nijmegen,Excelsior,0,0,0,1,1,2,1,1,2
9,2022-10-08 16:45,Sparta Rotterdam,FC Emmen,1,0,1,2,1,3,3,1,4
9,2022-10-08 14:30,FC Volendam,Ajax,0,2,2,2,2,4,2,4,6
9,2022-10-07 18:00,Groningen,Waalwijk,1,1,2,1,2,3,2,3,5
8,2022-10-02 18:00,FC Emmen,Heerenveen,0,0,0,0,0,0,0,0,0
8,2022-10-02 14:45,Waalwijk,Sparta Rotterdam,1,1,2,1,1,2,2,2,4
8,2022-10-02 12:30,Excelsior,Utrecht,0,1,1,0,0,0,0,1,1
8,2022-10-02 12:30,Nijmegen,Feyenoord,1,1,2,0,0,0,1,1,2
8,2022-10-02 10:15,Sittard,FC Volendam,2,0,2,0,0,0,2,0,2
8,2022-10-01 19:00,Twente,Vitesse,1,0,1,2,0,2,3,0,3
8,2022-10-01 18:00,Ajax,G.A. Eagles,1,0,1,0,1,1,1,1,2
8,2022-10-01 16:45,Groningen,AZ Alkmaar,1,2,3,0,2,2,1,4,5
